2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_RM
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_EUR
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_CNY
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_OTHER
2025-04-18 17:42:31 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_JPY
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_GBP
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CHF
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CAD
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_AUD
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_SGD
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_HKD
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CNY
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_OTHER
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_JPY
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_CHF
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_CAD
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_AUD
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_SGD
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_HKD
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_CNY
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_OTHER
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_CHF
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_CAD
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_AUD
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_SGD
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_HKD
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_CNY
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_JPY_OTHER
2025-04-18 17:42:35 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_CNY_AUD
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_CNY_SGD
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_CNY_HKD
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_CNY_OTHER
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_JPY
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_GBP
2025-04-18 17:42:36 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_CHF
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_CAD
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_AUD
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_SGD
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_HKD
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_CNY
2025-04-18 17:42:37 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SWAP_EUR_OTHER
